,index,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
272,1NpW5kyvO4XrNJ3rnfcNy3,Wild Ones (feat. Sia),Flo Rida,0.608,0.86,5,-5.324,0,0.0554,0.0991,0.0,0.262,0.437,127.075,audio_features,1NpW5kyvO4XrNJ3rnfcNy3,spotify:track:1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/tracks/1NpW5kyvO4XrNJ3rnfcNy3,https://api.spotify.com/v1/audio-analysis/1NpW5kyvO4XrNJ3rnfcNy3,232947,4
273,1XGmzt0PVuFgQYYnV2It7A,Payphone,Maroon 5,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,audio_features,1XGmzt0PVuFgQYYnV2It7A,spotify:track:1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/tracks/1XGmzt0PVuFgQYYnV2It7A,https://api.spotify.com/v1/audio-analysis/1XGmzt0PVuFgQYYnV2It7A,231173,4
274,1fidCEsYlaVE3pHwKCvpFZ,Am I Wrong,Nico & Vinz,0.729,0.675,8,-6.003,1,0.0312,0.175,1.58e-06,0.55,0.779,119.968,audio_features,1fidCEsYlaVE3pHwKCvpFZ,spotify:track:1fidCEsYlaVE3pHwKCvpFZ,https://api.spotify.com/v1/tracks/1fidCEsYlaVE3pHwKCvpFZ,https://api.spotify.com/v1/audio-analysis/1fidCEsYlaVE3pHwKCvpFZ,245867,4
275,4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,audio_features,4QNpBfC0zvjKqPJcyqBy9W,spotify:track:4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/tracks/4QNpBfC0zvjKqPJcyqBy9W,https://api.spotify.com/v1/audio-analysis/4QNpBfC0zvjKqPJcyqBy9W,252307,4
276,6YUTL4dYpB9xZO5qExPf05,Summer,Calvin Harris,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,222533,4
277,6nYoTBmGFNgfTyRC8x1Fvp,TiK ToK,Kesha,0.755,0.832,2,-2.741,0,0.116,0.0746,1.27e-06,0.291,0.735,120.032,audio_features,6nYoTBmGFNgfTyRC8x1Fvp,spotify:track:6nYoTBmGFNgfTyRC8x1Fvp,https://api.spotify.com/v1/tracks/6nYoTBmGFNgfTyRC8x1Fvp,https://api.spotify.com/v1/audio-analysis/6nYoTBmGFNgfTyRC8x1Fvp,199693,4
278,2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,Flo Rida,0.706,0.89,1,-4.444,0,0.0688,0.0588,0.00286,0.306,0.684,128.011,audio_features,2LEF1A8DOZ9wRYikWgVlZ8,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/tracks/2LEF1A8DOZ9wRYikWgVlZ8,https://api.spotify.com/v1/audio-analysis/2LEF1A8DOZ9wRYikWgVlZ8,248133,4
279,6cpk00i5TxCqSeqNi2HuIe,One More Night,Maroon 5,0.716,0.821,5,-3.435,0,0.0314,0.0558,0.0,0.0844,0.618,92.997,audio_features,6cpk00i5TxCqSeqNi2HuIe,spotify:track:6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/tracks/6cpk00i5TxCqSeqNi2HuIe,https://api.spotify.com/v1/audio-analysis/6cpk00i5TxCqSeqNi2HuIe,219547,4
280,4rHZZAmHpZrA3iH5zx8frV,Mirrors,Justin Timberlake,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899,audio_features,4rHZZAmHpZrA3iH5zx8frV,spotify:track:4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/tracks/4rHZZAmHpZrA3iH5zx8frV,https://api.spotify.com/v1/audio-analysis/4rHZZAmHpZrA3iH5zx8frV,484147,4
281,0BiGd2FNDQ0eh79ZHfp6tS,All I Wanna Do,Martin Jensen,0.728,0.794,1,-3.992,1,0.0635,0.148,0.0,0.0688,0.523,112.071,audio_features,0BiGd2FNDQ0eh79ZHfp6tS,spotify:track:0BiGd2FNDQ0eh79ZHfp6tS,https://api.spotify.com/v1/tracks/0BiGd2FNDQ0eh79ZHfp6tS,https://api.spotify.com/v1/audio-analysis/0BiGd2FNDQ0eh79ZHfp6tS,194360,4
282,0YSJCrlSWF3meRTNCu54WI,Make Me... (feat. G-Eazy) (feat. G-Eazy),Britney Spears,0.697,0.7,7,-6.651,0,0.0985,0.157,0.0,0.217,0.577,123.013,audio_features,0YSJCrlSWF3meRTNCu54WI,spotify:track:0YSJCrlSWF3meRTNCu54WI,https://api.spotify.com/v1/tracks/0YSJCrlSWF3meRTNCu54WI,https://api.spotify.com/v1/audio-analysis/0YSJCrlSWF3meRTNCu54WI,231266,4
